Name			IAU Abbr.	Center RA (h m s)	Center DEC (°)
Andromeda		And		00h48m48s		+36d55m
Antlia			Ant		10h16m00s		-35d16m
Apus			Aps		16h08m00s		-75d40m
Aquarius		Aqr		22h18m24s		-10d47m
Aquila			Aql		19h40m12s		+08d44m
Ara			Ara		17h22m48s		-53d35m
Aries			Ari		02h38m24s		+20d47m
Auriga			Aur		05h39m36s		+42d17m
Boötes			Boo		14h42m48s		+31d12m
Caelum			Cae		04h42m00s		-37d53m
Camelopardalis		Cam		05h59m24s		+69d00m
Cancer			Cnc		08h23m12s		+19d40m
Canes Venatici		CVn		13h06m48s		+40d06m
Canis Major		CMa		06h49m48s		-22d26m
Canis Minor		CMi		07h39m12s		+06d25m
Capricornus		Cap		21h02m24s		-18d46m
Carina			Car		08h41m36s		-63d13m
Cassiopeia		Cas		01h19m12s		+62d11m
Centaurus		Cen		12h49m12s		-47d46m
Cepheus			Cep		22h00m00s		+65d08m
Cetus			Cet		01h25m12s		-09d58m
Chamaeleon		Cha		11h06m00s		-78d43m
Circinus		Cir		14h34m48s		-63d02m
Columba			Col		05h39m36s		-35d05m
Coma Berenices		Com		12h47m12s		+22d59m
Corona Australis	CrA		18h38m24s		-39d24m
Corona Borealis		CrB		15h39m36s		+30d28m
Corvus			Crv		12h26m24s		-16d19m
Crater			Crt		11h23m24s		-15d56m
Crux			Cru		12h26m24s		-60d11m
Cygnus			Cyg		20h41m24s		+44d27m
Delphinus		Del		20h41m24s		+14d35m
Dorado			Dor		05h14m24s		-65d45m
Draco			Dra		17h05m24s		+65d00m
Equuleus		Equ		21h11m24s		+05d00m
Eridanus		Eri		03h18m00s		-28d46m
Fornax			For		03h22m48s		-31d37m
Gemini			Gem		07h04m48s		+20d41m
Grus			Gru		22h27m36s		-46d21m
Hercules		Her		17h23m36s		+27d30m
Horologium		Hor		03h16m48s		-53d20m
Hydra			Hya		10h29m36s		-16d26m
Hydrus			Hyi		02h20m48s		-73d18m
Indus			Ind		21h25m48s		-52d43m
Lacerta			Lac		22h27m36s		+46d02m
Leo			Leo		10h40m48s		+15d28m
Leo Minor		LMi		10h14m24s		+35d00m
Lepus			Lep		05h33m36s		-19d03m
Libra			Lib		15h15m36s		-15d09m
Lupus			Lup		15h13m12s		-44d50m
Lynx			Lyn		07h59m12s		+47d21m
Lyra			Lyr		18h51m36s		+36d41m
Mensa			Men		05h24m00s		-77d30m
Microscopium		Mic		21h12m48s		-36d16m
Monoceros		Mon		07h03m36s		-05d36m
Musca			Mus		12h35m12s		-70d09m
Norma			Nor		16h03m36s		-52d01m
Octans			Oct		22h23m12s		-82d09m
Ophiuchus		Oph		17h23m36s		-04d24m
Orion			Ori		05h34m48s		+05d57m
Pavo			Pav		20h25m12s		-65d52m
Pegasus			Peg		22h41m36s		+19d28m
Perseus			Per		03h19m12s		+45d00m
Phoenix			Phe		00h26m24s		-48d18m
Pictor			Pic		05h42m24s		-53d28m
Pisces			Psc		00h34m12s		+15d48m
Piscis Austrinus	PsA		22h17m12s		-30d38m
Puppis			Pup		07h43m12s		-31d39m
Pyxis			Pyx		08h57m36s		-27d21m
Reticulum		Ret		04h35m12s		-58d46m
Sagitta			Sge		19h39m36s		+18d51m
Sagittarius		Sgr		19h05m24s		-28d28m
Scorpius		Sco		16h53m12s		-34d42m
Sculptor		Scl		00h25m48s		-32d05m
Scutum			Sct		18h42m24s		-10d56m
Serpens (Caput/Cauda)	Ser		16h57m36s		+06d13m
Sextans			Sex		10h16m48s		-02d36m
Taurus			Tau		04h42m24s		+16d00m
Telescopium		Tel		19h19m12s		-52d02m
Triangulum		Tri		02h11m12s		+31d28m
Triangulum Australe	TrA		16h34m48s		-63d57m
Tucana			Tuc		23h46m48s		-64d49m
Ursa Major		UMa		11h03m36s		+56d49m
Ursa Minor		UMi		15h00m00s		+77d42m
Vela			Vel		09h34m48s		-47d10m
Virgo			Vir		13h14m24s		-04d11m
Volans			Vol		07h47m36s		-69d48m
Vulpecula		Vul		20h13m12s		+24d38m
